node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
GB25,body,1,-0.360770,0.148918,0.390764,1.143116,0.856156,0.470667,-1.007438,-0.429378,0.397181,0.184946,-0.043844,0.775485,-0.202413,0.297637,0.340847,0.531311
GB34,body,1,-0.029629,-0.052893,-0.419993,0.407724,0.847948,0.312901,-0.752546,-0.896592,0.028480,0.846840,0.328997,0.593192,-0.990800,-0.441380,-0.101522,0.671087
GB35,body,1,-0.283010,-0.064211,-0.362095,0.153779,1.017031,0.064026,-0.565470,-0.386172,-0.360817,0.591549,0.458572,0.220584,-0.944594,-0.659544,-0.320711,0.443040
GV1,body,1,-0.714128,0.714941,0.089860,0.329934,0.526136,0.010760,0.461377,0.210650,0.355152,0.410704,0.229632,0.099756,-0.358082,0.474696,0.157967,0.197168
GV12,body,1,-0.641042,0.235097,0.168896,0.348169,0.679337,0.046493,0.502476,0.516979,0.257370,0.048428,-0.024232,0.009006,-0.444185,0.040677,-0.013120,0.381739
GV13,body,1,-0.411271,0.616954,0.446760,0.528961,1.005569,-0.125850,0.141962,0.625494,0.694005,0.309827,-0.129795,0.041639,-0.462073,0.070704,-0.010667,0.077362
GV15,body,1,-0.704720,0.365413,0.248529,0.474437,0.688640,0.003559,0.193110,0.694527,0.122880,0.108796,-0.032479,-0.054614,-0.444648,-0.167255,0.008181,0.242160
GV19,body,1,-0.615591,0.371949,0.050065,0.565133,0.837518,0.048358,0.324198,0.757212,-0.089433,0.294876,-0.214601,-0.013719,-0.321775,0.024745,0.162200,0.490236
GV2,body,1,-0.892094,0.617960,0.413737,0.373226,0.981296,0.028775,0.163521,0.587387,0.312715,-0.034979,0.106034,-0.141317,-0.366135,-0.019836,0.148027,0.389652
GV21,body,1,-0.494854,0.331262,0.516066,0.356652,0.932666,0.050393,0.227075,0.601283,0.018694,0.367727,-0.060569,-0.361096,-0.559474,-0.083419,0.177776,0.089481
GV22,body,1,-0.827193,0.566799,0.281703,0.492273,1.025959,-0.097937,0.071277,0.444644,0.120197,0.404502,-0.131587,0.114236,-0.198290,0.186428,-0.181092,-0.064016
